Put Option Report - Option Scanner Revenue Data Crunch
Timestamp: 2026-01-31T11:52:13.780879300
Total Options: 170

These are tier 1 options:
Underlying: TSM | Expiration: 06-Feb-26 | Strike: 325.00 | Previous Close: 4.25 | Adjusted PE: 0.52 | Yield: 0.26%
Underlying: ALGN | Expiration: 06-Feb-26 | Strike: 155.00 | Previous Close: 4.00 | Adjusted PE: 12.90 | Yield: 0.26%
Underlying: DECK | Expiration: 30-Jan-26 | Strike: 94.00 | Previous Close: 2.50 | Adjusted PE: 12.94 | Yield: 0.53%
Underlying: DECK | Expiration: 06-Feb-26 | Strike: 94.00 | Previous Close: 3.50 | Adjusted PE: 12.94 | Yield: 0.37%
Underlying: OLED | Expiration: 20-Feb-26 | Strike: 115.00 | Previous Close: 5.60 | Adjusted PE: 12.99 | Yield: 0.32%
Underlying: DECK | Expiration: 30-Jan-26 | Strike: 95.00 | Previous Close: 3.30 | Adjusted PE: 13.08 | Yield: 0.69%
Underlying: DECK | Expiration: 06-Feb-26 | Strike: 95.00 | Previous Close: 3.90 | Adjusted PE: 13.08 | Yield: 0.41%
Underlying: DECK | Expiration: 20-Feb-26 | Strike: 95.00 | Previous Close: 4.45 | Adjusted PE: 13.08 | Yield: 0.25%
Underlying: ALGN | Expiration: 06-Feb-26 | Strike: 157.50 | Previous Close: 4.60 | Adjusted PE: 13.11 | Yield: 0.29%
Underlying: DECK | Expiration: 30-Jan-26 | Strike: 96.00 | Previous Close: 4.05 | Adjusted PE: 13.22 | Yield: 0.84%
Underlying: DECK | Expiration: 13-Feb-26 | Strike: 96.00 | Previous Close: 4.30 | Adjusted PE: 13.22 | Yield: 0.30%
Underlying: DECK | Expiration: 27-Feb-26 | Strike: 96.00 | Previous Close: 5.30 | Adjusted PE: 13.22 | Yield: 0.23%
Underlying: ALGN | Expiration: 06-Feb-26 | Strike: 160.00 | Previous Close: 5.40 | Adjusted PE: 13.32 | Yield: 0.34%
Underlying: DECK | Expiration: 30-Jan-26 | Strike: 97.00 | Previous Close: 4.61 | Adjusted PE: 13.35 | Yield: 0.95%
Underlying: DECK | Expiration: 06-Feb-26 | Strike: 97.00 | Previous Close: 4.68 | Adjusted PE: 13.35 | Yield: 0.48%
Underlying: DECK | Expiration: 13-Feb-26 | Strike: 97.00 | Previous Close: 4.81 | Adjusted PE: 13.35 | Yield: 0.33%
Underlying: DECK | Expiration: 20-Feb-26 | Strike: 97.00 | Previous Close: 5.27 | Adjusted PE: 13.35 | Yield: 0.29%
Underlying: DECK | Expiration: 27-Feb-26 | Strike: 97.00 | Previous Close: 5.75 | Adjusted PE: 13.35 | Yield: 0.25%
Underlying: DECK | Expiration: 30-Jan-26 | Strike: 98.00 | Previous Close: 4.00 | Adjusted PE: 13.49 | Yield: 0.81%
Underlying: DECK | Expiration: 06-Feb-26 | Strike: 98.00 | Previous Close: 5.08 | Adjusted PE: 13.49 | Yield: 0.52%
Underlying: DECK | Expiration: 13-Feb-26 | Strike: 98.00 | Previous Close: 5.29 | Adjusted PE: 13.49 | Yield: 0.36%
Underlying: DECK | Expiration: 20-Feb-26 | Strike: 98.00 | Previous Close: 5.70 | Adjusted PE: 13.49 | Yield: 0.31%
Underlying: DECK | Expiration: 27-Feb-26 | Strike: 98.00 | Previous Close: 6.23 | Adjusted PE: 13.49 | Yield: 0.26%
Underlying: ALGN | Expiration: 06-Feb-26 | Strike: 162.50 | Previous Close: 6.30 | Adjusted PE: 13.52 | Yield: 0.39%
Underlying: DECK | Expiration: 30-Jan-26 | Strike: 99.00 | Previous Close: 5.52 | Adjusted PE: 13.63 | Yield: 1.11%
Underlying: DECK | Expiration: 27-Feb-26 | Strike: 99.00 | Previous Close: 6.85 | Adjusted PE: 13.63 | Yield: 0.29%
Underlying: ALGN | Expiration: 06-Feb-26 | Strike: 165.00 | Previous Close: 8.00 | Adjusted PE: 13.73 | Yield: 0.48%
Underlying: ALGN | Expiration: 13-Feb-26 | Strike: 165.00 | Previous Close: 8.54 | Adjusted PE: 13.73 | Yield: 0.35%
Underlying: ALGN | Expiration: 06-Feb-26 | Strike: 167.50 | Previous Close: 8.61 | Adjusted PE: 13.94 | Yield: 0.51%
Underlying: ALGN | Expiration: 13-Feb-26 | Strike: 167.50 | Previous Close: 9.15 | Adjusted PE: 13.94 | Yield: 0.36%
Underlying: ALGN | Expiration: 30-Jan-26 | Strike: 167.50 | Previous Close: 2.80 | Adjusted PE: 13.94 | Yield: 0.33%
Underlying: GRMN | Expiration: 20-Feb-26 | Strike: 200.00 | Previous Close: 7.00 | Adjusted PE: 14.89 | Yield: 0.23%
Underlying: MSFT | Expiration: 30-Jan-26 | Strike: 427.50 | Previous Close: 1.50 | Adjusted PE: 16.05 | Yield: 0.35%
Underlying: MSFT | Expiration: 02-Feb-26 | Strike: 427.50 | Previous Close: 2.70 | Adjusted PE: 16.05 | Yield: 0.32%
Underlying: MSFT | Expiration: 04-Feb-26 | Strike: 427.50 | Previous Close: 4.01 | Adjusted PE: 16.05 | Yield: 0.23%
Underlying: MSFT | Expiration: 30-Jan-26 | Strike: 430.00 | Previous Close: 2.11 | Adjusted PE: 16.14 | Yield: 0.49%
Underlying: MSFT | Expiration: 02-Feb-26 | Strike: 430.00 | Previous Close: 3.60 | Adjusted PE: 16.14 | Yield: 0.42%
Underlying: MSFT | Expiration: 04-Feb-26 | Strike: 430.00 | Previous Close: 4.95 | Adjusted PE: 16.14 | Yield: 0.29%
Underlying: MSFT | Expiration: 09-Feb-26 | Strike: 430.00 | Previous Close: 7.87 | Adjusted PE: 16.14 | Yield: 0.26%
Underlying: MSFT | Expiration: 06-Feb-26 | Strike: 430.00 | Previous Close: 6.35 | Adjusted PE: 16.14 | Yield: 0.25%
Underlying: MSFT | Expiration: 11-Feb-26 | Strike: 430.00 | Previous Close: 9.30 | Adjusted PE: 16.14 | Yield: 0.24%
Underlying: MSFT | Expiration: 30-Jan-26 | Strike: 432.50 | Previous Close: 3.33 | Adjusted PE: 16.23 | Yield: 0.77%
Underlying: MSFT | Expiration: 02-Feb-26 | Strike: 432.50 | Previous Close: 4.95 | Adjusted PE: 16.23 | Yield: 0.57%
Underlying: MSFT | Expiration: 09-Feb-26 | Strike: 432.50 | Previous Close: 14.10 | Adjusted PE: 16.23 | Yield: 0.47%
Underlying: MSFT | Expiration: 04-Feb-26 | Strike: 432.50 | Previous Close: 6.30 | Adjusted PE: 16.23 | Yield: 0.36%
Underlying: MSFT | Expiration: 06-Feb-26 | Strike: 432.50 | Previous Close: 7.60 | Adjusted PE: 16.23 | Yield: 0.29%
Underlying: MSFT | Expiration: 11-Feb-26 | Strike: 432.50 | Previous Close: 9.78 | Adjusted PE: 16.23 | Yield: 0.25%
Underlying: INTU | Expiration: 30-Jan-26 | Strike: 475.00 | Previous Close: 1.14 | Adjusted PE: 19.42 | Yield: 0.24%
Underlying: INTU | Expiration: 30-Jan-26 | Strike: 480.00 | Previous Close: 1.30 | Adjusted PE: 19.63 | Yield: 0.27%
Underlying: INTU | Expiration: 30-Jan-26 | Strike: 485.00 | Previous Close: 1.61 | Adjusted PE: 19.83 | Yield: 0.33%
Underlying: GOOGL | Expiration: 09-Feb-26 | Strike: 322.50 | Previous Close: 6.32 | Adjusted PE: 19.87 | Yield: 0.28%
Underlying: GOOGL | Expiration: 06-Feb-26 | Strike: 322.50 | Previous Close: 5.20 | Adjusted PE: 19.87 | Yield: 0.27%
Underlying: SNPS | Expiration: 30-Jan-26 | Strike: 490.00 | Previous Close: 5.90 | Adjusted PE: 19.88 | Yield: 0.24%
Underlying: INTU | Expiration: 30-Jan-26 | Strike: 487.50 | Previous Close: 1.40 | Adjusted PE: 19.93 | Yield: 0.29%
Underlying: INTU | Expiration: 06-Feb-26 | Strike: 487.50 | Previous Close: 8.00 | Adjusted PE: 19.93 | Yield: 0.27%
Underlying: SNPS | Expiration: 30-Jan-26 | Strike: 492.50 | Previous Close: 7.20 | Adjusted PE: 19.98 | Yield: 0.29%
Underlying: GOOGL | Expiration: 09-Feb-26 | Strike: 325.00 | Previous Close: 6.20 | Adjusted PE: 20.03 | Yield: 0.27%
Underlying: GOOGL | Expiration: 06-Feb-26 | Strike: 325.00 | Previous Close: 5.26 | Adjusted PE: 20.03 | Yield: 0.27%
Underlying: GOOG | Expiration: 06-Feb-26 | Strike: 325.00 | Previous Close: 5.11 | Adjusted PE: 20.03 | Yield: 0.26%
Underlying: GOOGL | Expiration: 11-Feb-26 | Strike: 325.00 | Previous Close: 6.90 | Adjusted PE: 20.03 | Yield: 0.24%
Underlying: INTU | Expiration: 30-Jan-26 | Strike: 490.00 | Previous Close: 1.60 | Adjusted PE: 20.04 | Yield: 0.32%
Underlying: INTU | Expiration: 27-Feb-26 | Strike: 490.00 | Previous Close: 22.73 | Adjusted PE: 20.04 | Yield: 0.23%
Underlying: SNPS | Expiration: 30-Jan-26 | Strike: 495.00 | Previous Close: 7.93 | Adjusted PE: 20.08 | Yield: 0.32%
Underlying: INTU | Expiration: 30-Jan-26 | Strike: 492.50 | Previous Close: 3.70 | Adjusted PE: 20.14 | Yield: 0.75%
Underlying: SNPS | Expiration: 30-Jan-26 | Strike: 497.50 | Previous Close: 7.81 | Adjusted PE: 20.18 | Yield: 0.31%
Underlying: GOOG | Expiration: 06-Feb-26 | Strike: 327.50 | Previous Close: 6.60 | Adjusted PE: 20.18 | Yield: 0.34%
Underlying: GOOGL | Expiration: 09-Feb-26 | Strike: 327.50 | Previous Close: 7.57 | Adjusted PE: 20.18 | Yield: 0.33%
Underlying: GOOGL | Expiration: 06-Feb-26 | Strike: 327.50 | Previous Close: 6.00 | Adjusted PE: 20.18 | Yield: 0.31%
Underlying: GOOGL | Expiration: 11-Feb-26 | Strike: 327.50 | Previous Close: 7.68 | Adjusted PE: 20.18 | Yield: 0.26%
Underlying: INTU | Expiration: 30-Jan-26 | Strike: 495.00 | Previous Close: 3.80 | Adjusted PE: 20.24 | Yield: 0.77%
Underlying: INTU | Expiration: 06-Feb-26 | Strike: 495.00 | Previous Close: 9.80 | Adjusted PE: 20.24 | Yield: 0.33%
Underlying: INTU | Expiration: 20-Feb-26 | Strike: 495.00 | Previous Close: 18.00 | Adjusted PE: 20.24 | Yield: 0.24%
Underlying: INTU | Expiration: 13-Feb-26 | Strike: 495.00 | Previous Close: 12.84 | Adjusted PE: 20.24 | Yield: 0.24%
Underlying: SNPS | Expiration: 30-Jan-26 | Strike: 500.00 | Previous Close: 10.28 | Adjusted PE: 20.28 | Yield: 0.41%
Underlying: GOOGL | Expiration: 06-Feb-26 | Strike: 330.00 | Previous Close: 7.57 | Adjusted PE: 20.34 | Yield: 0.38%
Underlying: GOOGL | Expiration: 09-Feb-26 | Strike: 330.00 | Previous Close: 8.80 | Adjusted PE: 20.34 | Yield: 0.38%
Underlying: GOOG | Expiration: 06-Feb-26 | Strike: 330.00 | Previous Close: 6.84 | Adjusted PE: 20.34 | Yield: 0.35%
Underlying: GOOGL | Expiration: 11-Feb-26 | Strike: 330.00 | Previous Close: 9.60 | Adjusted PE: 20.34 | Yield: 0.32%
Underlying: GOOG | Expiration: 13-Feb-26 | Strike: 330.00 | Previous Close: 9.00 | Adjusted PE: 20.34 | Yield: 0.25%
Underlying: GOOGL | Expiration: 13-Feb-26 | Strike: 330.00 | Previous Close: 8.49 | Adjusted PE: 20.34 | Yield: 0.23%
Underlying: INTU | Expiration: 30-Jan-26 | Strike: 497.50 | Previous Close: 3.50 | Adjusted PE: 20.34 | Yield: 0.70%
Underlying: INTU | Expiration: 06-Feb-26 | Strike: 497.50 | Previous Close: 11.10 | Adjusted PE: 20.34 | Yield: 0.37%
Underlying: INTU | Expiration: 30-Jan-26 | Strike: 500.00 | Previous Close: 5.50 | Adjusted PE: 20.45 | Yield: 1.10%
Underlying: INTU | Expiration: 06-Feb-26 | Strike: 500.00 | Previous Close: 14.50 | Adjusted PE: 20.45 | Yield: 0.48%
Underlying: INTU | Expiration: 13-Feb-26 | Strike: 500.00 | Previous Close: 19.60 | Adjusted PE: 20.45 | Yield: 0.36%
Underlying: INTU | Expiration: 20-Feb-26 | Strike: 500.00 | Previous Close: 20.74 | Adjusted PE: 20.45 | Yield: 0.28%
Underlying: INTU | Expiration: 27-Feb-26 | Strike: 500.00 | Previous Close: 26.62 | Adjusted PE: 20.45 | Yield: 0.27%
Underlying: GOOGL | Expiration: 06-Feb-26 | Strike: 332.50 | Previous Close: 9.25 | Adjusted PE: 20.49 | Yield: 0.46%
Underlying: GOOGL | Expiration: 09-Feb-26 | Strike: 332.50 | Previous Close: 9.90 | Adjusted PE: 20.49 | Yield: 0.43%
Underlying: GOOG | Expiration: 06-Feb-26 | Strike: 332.50 | Previous Close: 7.73 | Adjusted PE: 20.49 | Yield: 0.39%
Underlying: GOOGL | Expiration: 11-Feb-26 | Strike: 332.50 | Previous Close: 9.55 | Adjusted PE: 20.49 | Yield: 0.32%
Underlying: GOOGL | Expiration: 13-Feb-26 | Strike: 332.50 | Previous Close: 9.95 | Adjusted PE: 20.49 | Yield: 0.27%
Underlying: GOOG | Expiration: 13-Feb-26 | Strike: 332.50 | Previous Close: 9.80 | Adjusted PE: 20.49 | Yield: 0.27%
Underlying: GOOGL | Expiration: 02-Feb-26 | Strike: 332.50 | Previous Close: 1.64 | Adjusted PE: 20.49 | Yield: 0.25%
Underlying: GOOG | Expiration: 20-Feb-26 | Strike: 332.50 | Previous Close: 11.75 | Adjusted PE: 20.49 | Yield: 0.24%
Underlying: INTU | Expiration: 30-Jan-26 | Strike: 502.50 | Previous Close: 10.00 | Adjusted PE: 20.55 | Yield: 1.99%
Underlying: GOOGL | Expiration: 06-Feb-26 | Strike: 335.00 | Previous Close: 9.20 | Adjusted PE: 20.64 | Yield: 0.46%
Underlying: GOOG | Expiration: 06-Feb-26 | Strike: 335.00 | Previous Close: 8.90 | Adjusted PE: 20.64 | Yield: 0.44%
Underlying: GOOGL | Expiration: 09-Feb-26 | Strike: 335.00 | Previous Close: 9.67 | Adjusted PE: 20.64 | Yield: 0.41%
Underlying: GOOGL | Expiration: 30-Jan-26 | Strike: 335.00 | Previous Close: 1.35 | Adjusted PE: 20.64 | Yield: 0.40%
Underlying: GOOGL | Expiration: 11-Feb-26 | Strike: 335.00 | Previous Close: 10.75 | Adjusted PE: 20.64 | Yield: 0.36%
Underlying: GOOGL | Expiration: 02-Feb-26 | Strike: 335.00 | Previous Close: 2.39 | Adjusted PE: 20.64 | Yield: 0.36%
Underlying: GOOG | Expiration: 30-Jan-26 | Strike: 335.00 | Previous Close: 1.20 | Adjusted PE: 20.64 | Yield: 0.36%
Underlying: GOOG | Expiration: 13-Feb-26 | Strike: 335.00 | Previous Close: 10.63 | Adjusted PE: 20.64 | Yield: 0.29%
Underlying: GOOGL | Expiration: 13-Feb-26 | Strike: 335.00 | Previous Close: 10.49 | Adjusted PE: 20.64 | Yield: 0.28%
Underlying: GOOG | Expiration: 20-Feb-26 | Strike: 335.00 | Previous Close: 11.92 | Adjusted PE: 20.64 | Yield: 0.24%
Underlying: GOOGL | Expiration: 20-Feb-26 | Strike: 335.00 | Previous Close: 11.61 | Adjusted PE: 20.64 | Yield: 0.23%
Underlying: GOOGL | Expiration: 30-Jan-26 | Strike: 337.50 | Previous Close: 2.22 | Adjusted PE: 20.80 | Yield: 0.66%
Underlying: GOOGL | Expiration: 02-Feb-26 | Strike: 337.50 | Previous Close: 4.10 | Adjusted PE: 20.80 | Yield: 0.61%
Underlying: GOOG | Expiration: 30-Jan-26 | Strike: 337.50 | Previous Close: 2.01 | Adjusted PE: 20.80 | Yield: 0.59%
Underlying: GOOGL | Expiration: 06-Feb-26 | Strike: 337.50 | Previous Close: 10.25 | Adjusted PE: 20.80 | Yield: 0.51%
Underlying: GOOGL | Expiration: 09-Feb-26 | Strike: 337.50 | Previous Close: 11.75 | Adjusted PE: 20.80 | Yield: 0.50%
Underlying: GOOG | Expiration: 06-Feb-26 | Strike: 337.50 | Previous Close: 9.95 | Adjusted PE: 20.80 | Yield: 0.49%
Underlying: GOOG | Expiration: 13-Feb-26 | Strike: 337.50 | Previous Close: 13.15 | Adjusted PE: 20.80 | Yield: 0.35%
Underlying: GOOGL | Expiration: 13-Feb-26 | Strike: 337.50 | Previous Close: 12.65 | Adjusted PE: 20.80 | Yield: 0.34%
Underlying: GOOGL | Expiration: 20-Feb-26 | Strike: 337.50 | Previous Close: 14.00 | Adjusted PE: 20.80 | Yield: 0.28%
Underlying: GOOG | Expiration: 20-Feb-26 | Strike: 337.50 | Previous Close: 13.70 | Adjusted PE: 20.80 | Yield: 0.27%
Underlying: PNR | Expiration: 20-Feb-26 | Strike: 105.00 | Previous Close: 3.80 | Adjusted PE: 22.11 | Yield: 0.24%
Underlying: POWL | Expiration: 20-Feb-26 | Strike: 390.00 | Previous Close: 14.40 | Adjusted PE: 23.16 | Yield: 0.25%
